tax	F82	S370_full	S777_AD1	S778_AD2	S779_AD3	S780_AD4	S781_AD5	S782_AD6	total
Bacteria;Bacteria_none;Spirochaetes;Spirochaetia;Spirochaetales;Breznakiellaceae;Gracilinema;Gracilinema caldarium	0	3	7	7	1	8	1	4	31
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Tautonia;Tautonia marina	19	12	0	0	0	0	0	0	31
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium simulans	2	4	7	14	0	3	1	0	31
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassorhabdomicrobium;Thalassorhabdomicrobium marinisediminis	8	6	5	10	0	2	0	0	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	3	18	3	1	2	3	0	1	31
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;Brucella tritici	0	0	31	0	0	0	0	0	31
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidicaldus;Acidicaldus organivorans	11	9	3	6	0	2	0	0	31
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas hortensis	9	0	0	10	12	0	0	0	31
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella multipartita	3	12	6	8	1	0	1	0	31
Bacteria;Bacteria_none;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema succinifaciens	3	27	0	0	0	0	1	0	31
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;Gemmobacter intermedius	8	3	6	7	1	3	2	1	31
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;Zhongshania;Zhongshania marina	17	3	3	8	0	0	0	0	31
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Chryseotalea;Chryseotalea sanaruensis	17	9	0	3	0	0	0	2	31
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Leptothrix;Leptothrix mobilis	28	0	1	0	0	2	0	0	31
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile;Desulfomonile limimaris	5	11	0	1	12	2	0	0	31
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis microcysteis	0	0	13	18	0	0	0	0	31
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus marmotae	29	1	0	1	0	0	0	0	31
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus;Virgibacillus salexigens	1	3	11	11	2	1	1	1	31
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter piscicola	17	1	4	8	0	0	0	1	31
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Gemmata;Gemmata massiliana	21	5	2	0	1	2	0	0	31
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces griseiniger	0	2	7	9	3	5	5	0	31
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga hostae	2	6	12	1	6	0	0	4	31
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerostipes;Anaerostipes rhamnosivorans	3	6	13	1	3	3	1	1	31
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium tardum	12	3	4	12	0	0	0	0	31
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia;Dietzia psychralcaliphila	2	10	3	11	2	1	2	0	31
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter weissii	4	6	4	12	1	1	1	2	31
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	6	2	13	3	2	3	1	1	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Geofilum;Geofilum rhodophaeum	10	11	1	6	0	0	0	3	31
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile	0	4	12	9	1	3	1	1	31
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Denitratimonas;Denitratimonas tolerans	28	2	1	0	0	0	0	0	31
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus plurextorum	26	2	0	1	0	0	0	1	30
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Pseudanabaenales;Pseudanabaenaceae;Komvophoron;Komvophoron kgarii	1	5	10	9	1	1	0	3	30
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus panacisoli	11	4	6	7	0	2	0	0	30
Bacteria;Bacteria_none;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta;Sediminispirochaeta bajacaliforniensis	0	16	12	0	0	0	0	2	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Schaedlerella;Schaedlerella arabinosiphila	6	3	7	10	2	0	2	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Polycyclovorans;Polycyclovorans algicola	9	4	6	6	1	3	1	0	30
Bacteria;Bacteria_none;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga;Mesotoga infera	0	10	18	0	2	0	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio campbellii	2	24	1	3	0	0	0	0	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Mogibacterium;Mogibacterium neglectum	3	5	14	2	2	0	2	2	30
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium freneyi	0	3	4	17	2	0	1	3	30
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Elstera;Elstera litoralis	5	8	6	5	0	5	0	1	30
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;Pelomonas puraquae	10	17	1	0	0	2	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Pseudochelatococcus;Pseudochelatococcus contaminans	5	9	8	5	2	0	1	0	30
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella;Cohnella terrae	1	1	10	6	1	11	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella spiritensis	11	2	3	12	1	1	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Spirabiliibacterium;Spirabiliibacterium pneumoniae	22	3	3	2	0	0	0	0	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Colidextribacter;Colidextribacter massiliensis	5	1	6	9	3	4	1	1	30
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sobrinus	23	2	4	0	0	0	1	0	30
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	4	0	4	7	0	9	3	3	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Caldicoprobacteraceae;Caldicoprobacter;Caldicoprobacter algeriensis	5	17	1	7	0	0	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium phaseoli	4	7	8	7	0	4	0	0	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Congobacterium;Congobacterium massiliense	8	2	8	0	6	0	6	0	30
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Azohydromonas;Azohydromonas aeria	22	3	0	5	0	0	0	0	30
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium;Ornithinimicrobium tianjinense	1	7	8	10	0	1	1	2	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium ruminantium	6	6	5	3	2	4	3	1	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lysobacter ruipuensis	12	3	5	5	5	0	0	0	30
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus mesophilus	0	1	14	3	6	6	0	0	30
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Exiguobacterium;Exiguobacterium undae	1	1	16	7	0	5	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia plymuthica	15	4	3	7	0	0	1	0	30
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phreatobacteraceae;Phreatobacter;Phreatobacter oligotrophus	6	13	6	0	3	2	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechlorobacter;Dechlorobacter hydrogenophilus	4	1	0	15	0	6	1	3	30
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium panacis	0	7	18	0	5	0	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia kururiensis	25	5	0	0	0	0	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria lactamica	4	9	2	11	0	2	1	1	30
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium ferriligni	2	15	1	10	1	1	0	0	30
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	8	9	5	5	0	3	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter guillouiae	24	0	0	4	0	0	2	0	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia hominis	5	2	9	7	2	1	1	3	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Wukongibacter;Wukongibacter baidiensis	4	9	2	6	0	3	4	2	30
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium crocinum	11	7	2	6	0	2	1	1	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Caldichromatium;Caldichromatium japonicum	7	12	3	3	0	1	2	1	29
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga eiseniae	16	6	1	5	0	0	0	1	29
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella taurinensis	9	3	12	4	0	1	0	0	29
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Symmachiella;Symmachiella dynata	6	7	2	9	0	5	0	0	29
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum;Sulfurospirillum cavolei	3	0	2	5	0	16	2	1	29
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia;Caballeronia jiangsuensis	17	7	4	0	0	0	1	0	29
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia oryziradicis	11	3	2	13	0	0	0	0	29
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces longisporoflavus	4	15	2	7	1	0	0	0	29
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Posidoniimonas;Posidoniimonas polymericola	0	4	0	25	0	0	0	0	29
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Xanthobacter;Xanthobacter flavus	4	13	4	4	0	0	0	4	29
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Rhodoferax koreense	25	1	1	0	0	0	0	2	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Murimonas;Murimonas intestini	0	2	13	8	1	1	2	2	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Acidaminobacter;Acidaminobacter hydrogenoformans	2	11	6	3	2	5	0	0	29
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Nonlabens;Nonlabens tegetincola	0	1	25	3	0	0	0	0	29
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus fluvialis	29	0	0	0	0	0	0	0	29
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marimonas;Marimonas arenosa	3	9	6	4	1	4	2	0	29
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus orisasini	23	2	1	2	1	0	0	0	29
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus faecalis	0	0	10	2	3	11	3	0	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;Moorella stamsii	7	2	5	10	0	0	1	4	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	3	4	19	0	2	1	0	0	29
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shimwellia;Shimwellia blattae	18	0	0	5	2	1	1	2	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vulturis	1	2	3	22	0	0	1	0	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii	0	6	0	15	0	6	2	0	29
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;Desulfobulbus propionicus	8	13	8	0	0	0	0	0	29
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia stuartii	23	0	1	0	0	1	4	0	29
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Gottfriedia;Gottfriedia acidiceleris	3	9	0	9	3	4	0	1	29
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Tepidimonas;Tepidimonas thermarum	13	6	7	0	1	1	0	1	29
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Haploplasma;Haploplasma modicum	0	16	12	0	1	0	0	0	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna chitinilytica	15	3	8	2	0	0	1	0	29
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;Roseomonas mucosa	8	1	9	5	1	2	3	0	29
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Naumannella;Naumannella cuiyingiana	0	0	17	5	0	6	1	0	29
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter rodentium	26	0	0	0	0	1	2	0	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas endodontalis	0	3	1	22	0	1	2	0	29
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus cremoris	24	2	1	0	2	0	0	0	29
Bacteria;Bacteria_none;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema socranskii	0	1	16	1	5	2	3	1	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium saccharoperbutylacetonicum	2	2	8	4	6	4	2	0	28
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera georgiana	24	0	0	2	0	2	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mobilisporobacter;Mobilisporobacter senegalensis	9	4	6	3	0	0	2	4	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus lactarius	23	0	1	1	0	2	1	0	28
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Rivulariaceae;Kyrtuthrix;Kyrtuthrix totonaca	12	6	9	0	0	1	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Alkalibaculum;Alkalibaculum sporogenes	0	14	11	2	0	1	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Orenia;Orenia sivashensis	0	6	17	1	0	1	1	2	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium quinii	1	7	8	7	1	1	2	1	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus capparidis	2	1	15	4	0	6	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor;Filifactor villosus	5	5	12	1	2	0	3	0	28
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Thermoguttaceae;Thermostilla;Thermostilla marina	14	7	1	3	1	1	1	0	28
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter aquaticus	21	4	2	0	0	0	0	1	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus orientis	0	2	6	3	1	11	4	1	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Frisingicoccus;Frisingicoccus caecimuris	6	4	6	1	2	0	9	0	28
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Phenylobacterium panacis	17	6	2	1	0	0	0	2	28
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera lornae	0	0	3	13	0	3	3	6	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus loxodontisalivarius	24	2	0	2	0	0	0	0	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus pseudomycoides	5	5	5	4	0	5	3	1	28
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Pelagerythrobacter;Pelagerythrobacter rhizovicinus	3	7	10	4	1	0	1	2	28
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter komagatae	2	7	4	12	0	1	2	0	28
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Tundrisphaera;Tundrisphaera lichenicola	24	2	0	1	0	1	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Casaltella;Casaltella massiliensis	0	10	9	0	3	6	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Syntrophomonadaceae;Thermosyntropha;Thermosyntropha lipolytica	4	1	16	2	2	3	0	0	28
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces pharetrae	2	10	7	8	0	0	0	1	28
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio vulnificus	0	17	5	0	0	6	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiales Family XVII. Incertae Sedis;Thermaerobacter;Thermaerobacter composti	0	0	6	9	0	10	3	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Abyssisolibacter;Abyssisolibacter fermentans	17	7	3	0	1	0	0	0	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Labilibacter;Labilibacter marinus	0	2	8	9	2	1	6	0	28
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia lucknowensis	0	0	9	11	3	1	4	0	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus dentapri	24	1	1	2	0	0	0	0	28
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Chthonobacter;Chthonobacter rhizosphaerae	6	10	2	5	3	2	0	0	28
Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae;Sedimentisphaerales;Sedimentisphaeraceae;Limihaloglobus;Limihaloglobus sulfuriphilus	2	3	6	6	2	8	0	1	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;Brevibacillus levickii	0	0	18	3	1	2	4	0	28
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Hoyosella;Hoyosella subflava	3	12	8	5	0	0	0	0	28
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia deserti	21	6	1	0	0	0	0	0	28
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia petroleophila	0	3	5	18	0	2	0	0	28
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium tianshanense	13	5	4	5	0	0	0	0	27
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas subvibrioides	12	5	4	3	0	0	0	3	27
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium horti	3	8	11	3	0	0	1	1	27
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus caledonicus	19	3	2	1	1	1	0	0	27
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Kaistia;Kaistia hirudinis	5	8	8	2	2	2	0	0	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Nevskia;Nevskia soli	12	1	2	5	5	2	0	0	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas rivipollensis	10	2	9	0	0	0	3	3	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Thiotrichales;Francisellaceae;Pseudofrancisella;Pseudofrancisella aestuarii	9	6	4	6	1	1	0	0	27
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium gilvum	2	7	2	12	0	2	2	0	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lysobacter aestuarii	17	6	1	1	1	0	0	1	27
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes piscinae	7	5	10	0	0	5	0	0	27
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia liquoris	3	1	12	0	2	7	1	1	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nevskiales;Steroidobacteraceae;Steroidobacter;Steroidobacter flavus	22	5	0	0	0	0	0	0	27
Bacteria;Bacteria_none;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;Victivallis vadensis	0	18	2	0	0	0	1	6	27
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter baengnokdamensis	0	5	5	13	0	0	2	2	27
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Natribacillus;Natribacillus halophilus	0	3	19	0	4	1	0	0	27
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia zapadnayensis	1	3	8	12	0	1	1	1	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Chujaibacter;Chujaibacter soli	12	8	1	2	1	0	1	2	27
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloparacoccus;Methyloparacoccus murrellii	4	12	3	5	0	3	0	0	27
