Samples,48-53,35,92,93,94,95,96,97,101,102,103,104.2,105,107,142,162,169,170,171,172,173,174
weight of samples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Group,Control,ADFull,Control,Treatment,Control,Control,Treatment,Treatment,Control,Treatment,Control,Control,Treatment,ADFull,ADFull,ADFull,Control,Treatment,Control,Control,Treatment,Treatment
Sorbitol-ISTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1095.5_Alanine,-1.34537831,-0.892766436,-1.073169471,-1.614002257,-1.135130818,-1.699960968,-1.686921686,-1.393874258,-1.35350215,-1.146336157,-1.258995859,-1.044900316,-1.024381423,-0.827496482,-0.824811579,-0.590899213,-1.493902393,-1.274341544,-1.658219645,-1.884761773,-1.243439964,0.15210033
2-1134.9_Oxalic acid,-1.925728054,-1.724156003,-1.780361581,-1.722621789,-1.86605506,-1.766192709,-1.838042367,-1.810853358,-1.821738222,-1.839738891,-1.779090651,-1.81596179,-1.478218687,-1.796946486,-1.807648967,-1.696871902,-1.81408038,-1.731017509,-1.78188559,-1.7394329,-1.213748885,-1.208119254
"3-1242.6_Butyric acid, 4-hydroxy-[2TMS]",-0.700542985,-0.651211498,-0.702312736,-1.654778272,-0.686977244,-0.699899156,-1.63030927,-1.440368785,-0.68415644,-0.667236198,-0.684919319,-0.684517226,-1.662547026,-0.673705018,-0.708146263,-0.688960934,-0.68460746,-1.507935147,-0.710569805,-0.696629997,-1.323379749,-1.435599956
4-1162.4_Sulfuric acid [2TMS],-1.310125719,-1.267635808,-2.360310481,-2.628763424,-2.334625592,-2.43800266,-1.317096174,-2.58751217,-2.415303496,-2.083433542,-2.397187998,-2.296056201,-1.498951236,-2.35458956,-2.199388359,-1.906017742,-2.46879033,-2.111830494,-2.420847894,-2.262333742,-1.292181296,-1.369483443
"5-1382.4_Threonic acid-1,4-lactone [2TMS]",-2.265822791,-2.167049409,-2.231070164,-2.191113797,-3.288084818,-2.223307629,-2.219654541,-2.014282336,-2.247541806,-2.214012721,-2.432541409,-2.757006044,-1.748896553,-2.206215701,-2.183991453,-2.105494558,-2.291616868,-2.157776265,-2.241752768,-3.01356718,-1.439783411,-1.566192901
6-1326_Succinic acid [2TMS],-0.699773461,-0.472192818,-0.519986955,-0.166212972,-0.489187554,-0.041836469,-0.132173917,-0.171059869,-1.610837141,0.284439704,-0.928161635,-0.832856698,0.552473414,-0.466942487,-0.536203063,-1.954746301,-0.486242078,0.306389587,-1.589466005,-1.370815259,0.687882123,0.502144845
"7-1419.6_Butanoic acid,2,4-dihydroxy- [3TMS]",-3.103952884,-3.503183731,-2.664536415,-2.468900868,-3.111055479,-3.261436442,-2.141578065,-2.73076505,-3.563755859,-2.902511177,-3.726390441,-3.755868426,-2.23578284,-2.94540862,-3.849837876,-1.95069588,-3.787869854,-2.649197269,-3.937316524,-3.637564824,-1.842223958,-2.266207615
8-1414.6_Glutaric acid [2TMS],-3.041082412,-3.172110759,-3.310389279,-1.577421208,-3.256736836,-2.802923405,-1.366131188,-1.135509133,-3.190713351,-2.166819408,-2.774303419,-1.667034317,-0.457828855,-3.140199252,-3.395824676,-2.742174119,-3.184256652,-0.824889191,-3.457420215,-3.016624137,-0.501713055,-1.663624954
"9-1465.9_Decanoic acid,n- [1TMS]",-2.679465881,-2.545445875,-2.552140482,-2.0084245,-2.337141635,-2.405436863,-2.023541356,-2.112939395,-2.628311135,-2.405936662,-2.780188016,-2.397772866,-1.65530165,-2.652517766,-2.660645333,-2.414419312,-2.631973199,-2.213732222,-2.799431618,-2.59035919,-1.083766099,-0.507574463
"10-1492.3_Malic acid, DL- [3TMS]",-3.241836676,-3.116343421,-2.041035128,-3.295862892,-3.327531445,-3.375258376,-3.245905531,-3.412464163,-3.335949505,-3.163236813,-3.415170791,-3.296196068,-2.839716812,-2.990864729,-3.08654889,-2.876137995,-3.263920524,-3.0534082,-3.42064134,-3.406722,-2.689515363,-2.846383627
