"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1786","K02403",33,26,144,25,65,122,291,303,268,325,367,27,35,34,29,18
"1787","K02404",2763,2511,2080,2327,4398,2305,2230,1823,1498,1660,1919,1695,1347,1324,1940,1302
"1788","K02405",3137,2816,2650,2730,3823,4045,3064,2173,2334,2440,2623,2916,2373,2244,2359,2227
"1789","K02406",6947,7086,5709,5883,11401,6825,5365,4252,3991,4090,4256,4388,3606,3792,4354,3272
"1790","K02407",5264,4634,3572,4356,8061,7756,3121,2488,2094,2126,2372,2393,2055,1874,2473,1935
"1791","K02408",1067,1096,972,978,1612,1881,1021,820,811,806,915,800,753,653,857,610
"1792","K02409",4103,3691,3649,3808,6500,7010,3782,3168,2873,3110,3546,2943,2550,2640,3003,2429
"1793","K02410",3347,3116,2730,2907,4606,5349,2955,2397,2137,2386,2536,2328,2016,2158,2559,1843
"1794","K02411",1740,1603,1405,1450,2944,3412,1177,1072,868,987,1140,1145,880,982,1234,893
"1795","K02412",3846,3464,2998,3353,5810,6133,3509,2856,2644,2793,3104,2863,2460,2487,2788,2163
"1796","K02413",827,751,643,612,1310,1972,665,526,379,382,540,449,393,306,464,231
"1797","K02414",1079,575,979,501,2153,3772,1066,921,696,640,854,346,271,244,313,234
"1798","K02415",1118,1266,1098,1234,1503,1123,1307,1105,958,1055,1208,918,757,835,910,763
"1799","K02416",2758,2517,2394,2472,4643,5013,2634,2046,1956,2051,2356,1917,1670,1907,2028,1627
"1800","K02417",2665,2552,2122,2060,4776,4976,1618,1279,1173,1247,1262,1534,1271,1375,1418,1278
"1801","K02418",775,732,594,574,1271,635,824,628,614,700,707,654,453,546,687,431
"1802","K02419",2371,2096,2026,2212,3577,4097,2220,1754,1662,1930,2003,1884,1509,1595,1834,1462
"1803","K02420",973,901,811,900,1538,1709,886,814,732,778,862,809,729,637,753,599
"1804","K02421",2252,2134,1812,2116,3458,3525,2015,1511,1562,1541,1712,1634,1401,1307,1599,1316
