"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1","K00001",9212,9235,8007,9839,6630,9370,10864,9249,11394,10500,10228,11342,10006,11818,10524,9645
"2","K00002",902,912,414,1012,1612,2074,680,470,500,454,381,382,420,468,348,378
"3","K00003",7796,6523,7489,7635,8853,9127,8542,7839,8515,8309,8296,9495,8341,9494,8374,8196
"4","K00004",979,769,742,907,664,1928,1392,1366,1746,1350,1170,1558,1319,1377,1510,1189
"5","K00005",812,601,881,787,1267,1102,548,589,537,427,489,1325,1043,1039,1110,1158
"6","K00006",8,8,25,15,6,13,8,5,4,7,16,2,4,6,3,3
"7","K00007",13,22,96,8,17,115,218,307,254,292,299,2,2,0,12,3
"8","K00008",7055,6281,5545,7490,7581,7304,4973,4484,5921,4631,3902,8439,7178,8353,6900,7151
"9","K00009",740,591,587,799,548,367,624,661,762,653,677,1299,1072,1115,1092,1123
"10","K00010",21857,20531,13087,20528,15031,9930,12598,10970,14876,12582,10890,41081,33882,39596,38204,33464
"11","K00011",102,108,254,157,592,462,567,581,787,656,700,264,321,370,229,287
"12","K00012",11111,9962,9384,13171,9456,9990,9004,8011,8408,9007,8261,14903,13267,14611,13382,13722
"13","K00013",5888,5188,5892,5775,7724,7830,7916,6469,7215,7047,7227,7602,6500,7703,7142,6583
"14","K00014",5276,4849,5111,4884,7422,6244,7374,6408,7209,6933,6781,7324,6358,7543,6400,6341
"15","K00015",6481,6364,4766,7337,4158,2560,2809,2399,2994,2823,2975,6102,5046,5669,5021,4750
"16","K00016",1621,1146,1841,1378,2046,4376,2261,2207,2232,1818,1773,1474,1642,1667,1284,1520
"17","K00018",1446,1201,1284,1482,2721,1489,1797,1599,1257,1364,1255,2111,2048,2354,2075,2127
"18","K00019",1298,1306,2272,1474,1347,1953,3699,3494,3937,4020,3994,3233,2677,3084,2506,2556
"19","K00020",2437,2450,3660,3090,2071,3407,7571,6434,8255,7653,7382,4966,4308,5521,4007,4116
"20","K00021",1799,1461,903,1492,1209,558,933,547,678,651,480,1444,1211,1395,1279,1259
"21","K00022",3,5,8,4,2,5,36,37,22,20,32,12,14,4,6,0
"22","K00023",807,730,1920,873,873,1707,3342,3208,3107,3122,3546,1304,1152,1322,1077,954
"23","K00024",3166,3087,3989,3025,2854,3197,6601,5237,5958,6124,6269,4115,3583,3969,4019,3410
"24","K00025",2,0,2,0,0,0,2,4,1,4,5,0,0,0,0,0
"25","K00026",7,8,4,2,0,11,0,0,0,0,0,5,0,4,4,4
"26","K00027",9691,8717,7061,10562,10251,7575,4809,3285,4083,3770,4028,8934,7639,8577,7116,7991
"27","K00029",2612,2827,5932,3234,2914,5870,11617,11288,11081,12080,11780,6790,5758,6015,6177,5261
"28","K00030",1017,882,949,1040,1167,2886,1157,1156,1118,1285,1368,1622,1354,1592,1351,1292
"29","K00031",5432,4710,7662,5212,6352,7467,13201,11600,12197,12912,12565,8987,7623,8648,8119,7492
"30","K00032",30,34,39,60,19,28,29,15,35,23,42,22,37,41,36,20
"31","K00033",4887,4380,4744,5163,4451,3597,6989,5370,6866,6314,6148,7236,6530,7871,6404,6627
"32","K00034",1035,927,1244,1088,848,1335,2340,2142,2665,2309,2248,1709,1848,1902,1591,1634
"33","K00035",399,277,220,315,135,123,344,273,364,377,406,428,359,484,279,384
"34","K00036",3560,3073,5388,3757,3758,3830,9561,7702,9034,9236,9460,7557,6887,7754,6115,6116
"35","K00038",1791,1592,2747,2134,1680,2459,4245,3537,4732,4431,4077,3520,2902,3868,2461,2576
"36","K00039",94,82,188,101,127,129,416,414,498,482,517,354,288,405,346,370
"37","K00040",428,366,962,459,976,2841,1580,1280,1354,1205,1336,671,527,696,483,605
"38","K00041",210,189,734,254,963,1738,685,694,460,544,545,198,153,226,173,228
"39","K00042",1648,1356,2236,1749,1323,2115,3065,2868,2637,2728,3037,2094,1840,1874,1379,1611
"40","K00043",182,197,495,166,244,505,1100,1107,1399,1477,1460,414,374,463,378,372
"41","K00044",48,58,40,86,66,38,138,145,192,223,178,214,210,241,222,235
"42","K00045",144,130,255,203,200,175,678,534,726,671,701,399,335,441,308,321
"43","K00046",3885,3234,3798,3664,3326,4817,6069,5336,6628,6138,5914,5026,4656,5130,4212,4308
"44","K00048",102,87,506,123,358,2008,484,386,298,235,255,69,87,98,48,65
"45","K00049",6,4,15,21,13,6,74,85,162,88,56,54,45,33,25,23
"46","K00050",30,40,86,35,31,67,256,260,286,217,250,95,80,118,70,80
"47","K00052",6296,5586,5762,5722,6664,6903,7914,6490,7181,7093,7261,8531,7364,8839,8044,7497
"48","K00053",4765,4180,5382,4411,6388,5120,7417,6310,6461,6683,6343,7167,6179,7018,6244,5813
"49","K00054",2229,2045,1544,2713,569,1189,1102,1071,1024,1144,1165,2437,2200,2116,1704,2193
"50","K00055",115,111,187,113,122,141,417,274,453,399,434,217,155,257,218,228
"51","K00057",6833,6250,6239,7308,8076,7037,7487,6448,6788,6985,7234,8819,7491,8912,7711,7482
"52","K00058",17323,15494,15141,18434,17956,14151,17771,15464,18616,17004,16538,22033,19055,21434,18277,18470
"53","K00059",33202,31291,36992,37395,33082,39760,55955,48231,59038,55642,53861,49056,42075,51906,40406,40728
"54","K00060",2759,2774,1995,2962,2745,1635,2429,1788,2259,2146,2084,2530,2063,2739,2397,2350
"55","K00061",106,116,152,184,137,163,347,258,444,347,383,243,236,331,207,216
"56","K00062",60,23,9,6,0,4,30,20,6,5,4,3,8,13,12,10
"57","K00064",375,453,691,503,404,518,1555,1575,2058,1748,1494,1190,981,1355,931,898
"58","K00065",3106,2854,3064,3206,2326,2725,4738,4366,5582,5068,4656,5312,4742,5391,4280,4326
"59","K00066",451,382,454,580,321,455,823,727,961,856,796,651,535,763,549,495
"60","K00067",8239,8052,6584,8459,7226,9161,6767,5744,6472,6283,5957,11346,9501,10611,9412,9566
"61","K00068",1132,1110,637,1179,676,323,282,306,355,298,265,1922,1381,1683,1833,1485
"62","K00069",18,17,47,20,14,37,36,23,58,36,38,70,37,59,50,29
"63","K00071",1,2,12,6,2,4,15,29,20,19,30,7,5,5,6,9
"64","K00073",840,811,757,1028,437,395,622,663,986,802,612,1134,982,1421,1198,1188
"65","K00074",4592,3944,5706,4734,3913,5835,8592,7070,8068,8870,8467,7590,6267,6878,7377,6250
"66","K00075",9808,8883,7922,10824,8233,7480,6780,5808,6310,6527,6222,8789,7761,8548,7820,7559
"67","K00076",856,802,1166,964,877,1262,2254,1874,2229,1904,1833,1623,1481,1978,1118,1309
"68","K00077",3610,3432,3504,3670,3012,2860,4995,4690,5028,5028,5149,5413,4747,5288,5331,4673
"69","K00078",2218,1866,1688,2134,1782,1521,1885,1647,2148,1856,1796,2385,2201,2688,2373,2594
"70","K00079",53,41,69,59,42,56,202,134,138,159,120,110,112,77,47,73
"71","K00081",2,1,6,0,0,4,0,0,0,0,0,0,2,2,2,2
"72","K00082",453,438,794,552,540,632,974,645,1110,1078,927,934,876,1106,744,718
"73","K00083",4,4,1,0,0,2,20,16,20,14,11,5,2,0,0,4
"74","K00084",0,0,17,0,0,2,0,6,0,0,0,0,0,0,0,0
"75","K00086",507,477,361,497,917,444,318,298,136,147,159,532,439,404,476,356
"76","K00087",8067,7449,5394,9700,5477,4273,3162,2666,3336,2880,2707,6937,5833,6484,5428,6040
"77","K00088",13908,12842,13149,14902,14644,15206,14432,12075,13393,13193,13153,16858,14037,16052,14718,14609
"78","K00090",169,138,466,154,188,354,731,841,981,917,974,173,187,239,215,156
"79","K00091",7491,6918,5484,8075,4620,4225,5608,4674,5524,5705,5161,9235,8012,9205,7480,7795
"80","K00093",4,17,2,1,0,0,0,0,6,0,0,0,0,0,0,0
"81","K00094",4,3,12,6,4,34,37,16,61,61,81,18,12,10,23,15
"82","K00096",2066,1964,1529,1955,4341,3451,1526,1216,1401,1142,1147,3004,2726,2988,2839,3002
"83","K00097",1652,1694,2002,1980,1829,1894,3662,3561,3151,3696,3601,3670,2934,3782,3460,3056
"84","K00098",301,226,497,336,269,403,1376,969,1332,1183,1108,644,575,696,423,552
"85","K00099",8096,7849,6779,8823,8999,7936,6610,5693,6521,6511,6281,10355,8714,9950,9256,8946
"86","K00100",89,30,398,71,430,164,221,209,158,116,122,179,165,109,99,183
"87","K00101",832,796,2072,937,1066,1909,3561,3623,4052,4128,3976,1842,1511,2015,1363,1416
"88","K00102",6069,6055,7812,7116,3175,7561,11672,11410,11575,12389,12866,6487,5485,6412,5558,5055
"89","K00103",518,485,1095,589,522,679,1698,1435,1684,1557,1821,1322,1055,1239,1013,1024
"90","K00104",4722,4493,5538,5352,5648,4788,9021,7583,9142,8842,9195,9385,8104,9730,8378,8642
"91","K00105",1,6,22,4,8,4,223,292,321,181,301,5,4,4,6,12
"92","K00106",83,93,156,102,188,89,188,113,189,126,108,117,42,59,50,49
"93","K00107",4,0,0,10,2,4,13,9,23,2,3,6,2,0,0,2
"94","K00108",3074,2936,6543,3835,3514,6253,13255,11866,14541,14843,15446,6627,5924,7708,5673,5531
"95","K00109",413,451,562,543,488,444,656,403,714,700,486,631,645,837,520,422
"96","K00111",10916,10223,10292,11710,10997,10015,11593,8374,10714,10474,10574,14902,12580,15050,12851,13290
"97","K00112",498,407,480,462,212,301,605,476,566,433,405,770,631,612,957,631
"98","K00113",755,588,919,793,399,809,2240,1917,1873,1972,2223,1296,1095,1069,1393,1071
"99","K00114",877,856,1244,785,670,1107,3551,2873,3179,3037,4030,1546,1340,1483,1127,1271
"100","K00115",4,3,1,3,4,2,3,5,7,1,11,4,8,12,11,12
"101","K00116",416,376,621,565,421,734,1034,856,1228,1051,1000,719,650,943,545,712
"102","K00117",1107,991,1587,1220,770,1169,5986,5199,6223,6267,5936,2823,2638,2745,2280,2306
"103","K00118",648,672,586,641,816,651,1052,941,1304,1169,1155,1004,779,767,826,659
"104","K00121",2811,2576,4549,3273,3154,4472,8571,7566,9364,8603,8448,6022,4877,6049,3875,4535
"105","K00122",4322,3879,5226,4714,3762,4884,8282,6235,8399,8182,7545,6403,5575,7683,5208,5026
"106","K00123",19835,17772,18205,20282,16059,13973,20412,18116,20180,20402,21098,30949,26470,27703,28528,25598
"107","K00124",2739,2424,2326,2520,1685,2105,4626,4029,4162,4384,4877,4216,3642,3703,4523,3482
"108","K00125",1803,1689,860,1526,1117,707,61,120,26,31,27,2926,2545,2139,2725,2375
"109","K00126",30,30,103,42,46,81,255,236,351,295,338,141,119,200,110,121
"110","K00127",933,805,948,724,579,911,1921,1720,1869,1867,2145,1506,1303,1184,1598,1177
"111","K00128",9046,8122,11912,9502,8624,12760,23616,19401,23756,22375,23539,18548,15684,18628,14401,14900
"112","K00129",88,121,238,164,151,156,278,219,187,370,436,135,154,139,104,79
"113","K00130",3694,3139,4871,3698,3474,4215,8519,5805,8357,7239,7378,6377,5351,6923,4142,5183
"114","K00131",421,377,570,372,411,477,1042,924,1005,924,966,833,639,719,796,713
"115","K00132",1489,1397,853,1810,245,350,275,206,279,303,271,971,951,890,792,847
"116","K00133",8665,7950,7800,9041,9496,8209,8225,7302,7400,7661,7548,10999,8992,10764,10118,9287
"117","K00134",14399,13373,12651,16244,11069,11141,10565,8671,8987,9378,8926,16950,13981,15392,14084,13964
"118","K00135",5262,5545,7523,6166,6272,6707,12479,10543,12481,12450,12263,8073,7069,8432,6250,6875
"119","K00137",174,138,350,237,213,159,524,446,783,656,556,430,427,582,314,331
"120","K00138",1313,1271,2837,1607,1394,2677,4527,4201,4511,4634,4627,2048,1995,2524,1714,1771
"121","K00140",2960,2866,4893,3497,2991,4148,7490,6934,7985,8130,7878,5095,4477,5371,3918,4132
"122","K00141",73,72,305,98,118,290,460,339,447,462,563,106,107,161,133,82
"123","K00142",6,14,20,9,19,28,18,12,15,13,9,23,17,21,20,22
"124","K00143",79,68,58,31,24,31,63,64,78,75,99,87,49,70,62,48
"125","K00145",4751,3979,4312,3953,5422,6108,6637,5561,6230,6142,6117,6295,5456,6273,5799,5505
"126","K00146",597,539,863,678,560,732,1604,1299,1620,1577,1630,864,754,1094,680,666
"127","K00147",5323,4927,5485,4875,6437,7623,7731,6469,6828,6904,6797,7206,5838,6897,6351,5951
"128","K00148",40,33,74,41,46,65,98,101,103,67,78,78,94,84,63,95
"129","K00149",2,2,0,2,2,0,2,2,1,0,0,0,0,0,0,0
"130","K00150",1730,1620,723,1454,1150,334,204,178,239,154,124,1692,1383,1573,1483,1515
"131","K00151",298,309,604,354,387,655,1295,1135,1360,1477,1552,672,492,704,547,460
"132","K00153",689,713,1001,871,614,857,1552,1108,1600,1419,1481,1238,1091,1338,929,1241
"133","K00154",519,516,1675,601,698,1955,2969,3474,3289,3611,3536,1064,928,1119,895,752
"134","K00156",601,415,411,328,336,392,796,669,751,644,601,274,266,310,209,260
"135","K00157",0,0,0,2,4,17,6,1,4,4,0,0,0,3,2,0
"136","K00158",292,258,331,340,414,170,476,319,510,642,543,574,542,687,608,475
"137","K00161",1744,1568,2773,2009,2026,2207,5156,4026,5121,5168,4708,2861,2449,3232,2332,2330
"138","K00162",1645,1427,2604,1800,1501,2018,4750,3964,5031,5188,4756,3165,2860,3429,2596,2529
"139","K00163",3666,3294,7118,3793,3798,6867,14017,11961,13728,13510,14630,7243,6401,7882,5823,6295
"140","K00164",4287,3981,8780,4318,4174,6202,16267,13976,15443,16147,15997,8285,7248,8278,6424,6533
"141","K00166",276,280,451,410,163,435,1131,1066,1078,1267,1399,321,302,319,316,293
"142","K00167",300,340,663,385,184,471,1176,1038,1279,1268,1377,458,382,592,401,293
"143","K00169",4621,4361,2048,3965,5199,1863,2000,1186,1262,1200,1579,4646,3954,3818,4619,3959
"144","K00170",3726,3626,1822,3337,4426,1585,1701,1010,1011,1013,1231,4028,3293,3361,3781,3562
"145","K00171",2221,1937,643,1826,1950,548,311,212,218,219,239,1815,1344,1503,1731,1533
"146","K00172",2445,2260,1047,1981,2636,1022,1110,609,673,693,810,2628,2082,2059,2518,2086
"147","K00174",23697,22820,16166,26527,21306,13005,8903,7498,7956,8250,8392,24912,20774,22704,21131,20972
"148","K00175",15408,14824,10352,16965,14692,8795,5378,4598,4945,4919,4997,16197,13411,14811,14292,13854
"149","K00176",4314,4417,2668,4929,4152,2067,251,212,147,150,162,3673,3077,3246,3213,3054
"150","K00177",6892,6837,4368,7959,7069,4001,399,313,199,185,179,6565,5561,5685,6137,5926
"151","K00179",14230,13230,8153,14446,16467,13668,3072,2602,2529,2484,2637,15476,13107,14204,14313,13558
"152","K00180",5160,4885,3107,5444,5689,4936,1550,1358,1246,1338,1506,5541,4775,5168,5081,4936
"153","K00183",336,361,276,461,1342,637,392,370,496,451,438,234,197,255,221,194
"154","K00184",1748,1616,1790,1504,693,1353,4713,4627,4751,5302,5199,2414,2111,2188,2193,1674
"155","K00185",1073,1158,1265,1040,426,1045,3820,3833,3837,4456,4145,2474,2050,2093,2429,1734
"156","K00186",829,933,346,792,617,322,157,85,109,67,118,1730,1486,1573,1285,1439
"157","K00187",1116,1219,370,1024,722,358,198,88,125,68,108,2121,1771,1893,1755,1830
"158","K00188",171,192,93,196,177,71,0,3,0,0,0,192,152,229,144,160
"159","K00192",1066,1086,182,1101,1203,169,24,24,33,20,2,1336,1290,1317,1213,1391
"160","K00193",610,713,103,675,697,154,23,11,17,24,10,1045,908,995,936,1097
"161","K00194",977,860,274,938,950,247,128,61,100,59,52,1319,1037,1237,1064,1303
"162","K00195",246,253,28,206,332,60,9,6,9,8,2,432,385,436,359,402
"163","K00196",1499,1110,983,1336,2799,1306,676,440,397,353,461,2310,1813,2204,1912,2334
"164","K00197",1233,1182,477,973,1282,324,80,91,77,79,44,1800,1503,1564,1619,1634
"165","K00198",1631,1716,874,1583,1623,419,205,212,186,134,122,2358,1905,2071,2123,2204
"166","K00200",2894,2944,1437,2663,3802,1050,802,555,757,609,680,2312,1981,2104,1979,2099
"167","K00201",2760,2783,1188,2626,3733,884,483,389,429,348,438,2585,2285,2350,2283,2354
"168","K00202",1553,1546,652,1402,1971,541,213,194,234,210,271,1872,1741,1647,1741,1847
"169","K00203",920,959,337,959,1261,303,42,16,22,23,29,693,593,713,675,654
"170","K00204",36,23,19,21,68,23,6,5,2,4,0,35,38,38,17,42
"171","K00205",1379,1566,387,1336,1595,321,40,33,38,21,23,1598,1477,1543,1509,1602
"172","K00207",90,80,75,60,73,21,35,39,30,30,68,35,62,48,39,97
"173","K00208",1973,1714,2725,1728,2183,2154,5715,4773,5055,5659,5311,3124,2629,3041,2569,2481
"174","K00209",353,362,364,532,257,2210,290,294,348,385,283,439,288,473,500,344
"175","K00210",704,760,504,893,390,350,177,126,125,212,122,471,321,472,571,446
"176","K00213",71,87,83,157,12,54,38,53,33,91,83,9,2,0,4,3
"177","K00214",202,153,75,142,55,58,100,79,102,62,55,187,113,161,133,137
"178","K00215",6951,6295,5517,7139,6651,6024,5971,4874,5361,5283,5149,7859,6829,8040,7084,6788
"179","K00216",144,112,223,165,118,204,438,401,597,406,530,432,265,470,206,249
"180","K00217",125,91,243,138,118,212,538,616,639,688,634,250,252,277,166,176
"181","K00218",1541,1478,2205,1914,1597,2030,2845,2383,3318,2819,2631,3222,2711,3828,2361,2765
"182","K00219",6100,5099,6235,6130,6641,5818,8830,7558,7982,8302,8767,9015,7472,7780,8024,7432
"183","K00220",171,224,453,221,205,244,848,848,984,1007,968,600,555,615,478,492
"184","K00221",40,23,110,37,35,83,101,167,143,174,128,70,67,71,42,76
"185","K00222",17,13,24,35,3,10,48,74,93,98,161,139,138,110,141,145
"186","K00226",4396,3924,2638,4991,2708,1833,1991,1577,1668,1648,1593,4896,4043,4616,3801,4258
"187","K00227",113,121,388,113,153,368,1118,1090,960,1248,1231,302,232,270,216,218
"188","K00228",305,384,1301,341,508,1239,3009,2776,2815,3083,3264,797,637,808,677,620
"189","K00230",699,597,511,676,1111,796,296,269,290,261,250,1058,877,1064,1043,1088
"190","K00231",1656,1507,2398,1663,1459,1805,3651,2755,3517,3363,3670,2889,2559,2918,2307,2578
"191","K00232",600,556,888,868,734,902,1209,1019,1443,1400,1253,1035,828,1146,760,787
"192","K00234",0,4,11,4,8,14,8,4,14,8,14,0,0,0,0,11
"193","K00235",0,4,2,5,2,0,0,4,0,0,0,2,4,6,0,0
"194","K00236",2,1,0,1,2,2,0,3,0,1,0,0,0,0,0,0
"195","K00239",5507,5283,8665,6195,5277,7954,14217,11764,13763,14022,13492,10794,9291,11288,8458,8631
"196","K00240",2636,2583,3990,3031,2397,3429,6420,5379,6090,6358,6166,4511,3959,5020,3712,3649
"197","K00241",1421,1339,2369,1467,1164,1931,3807,3229,3334,3618,3519,3140,2492,2963,2334,2348
"198","K00242",422,418,838,502,409,803,1423,1391,1460,1481,1402,668,556,791,571,550
"199","K00243",222,138,929,163,393,550,1045,967,757,821,808,223,152,211,259,150
"200","K00244",3887,2539,2038,2293,1272,1784,3186,3107,2716,2338,2650,4092,3485,3444,3949,3649
"201","K00245",63,91,214,50,105,335,532,416,265,332,447,65,69,101,134,92
"202","K00246",46,34,155,41,121,143,337,287,137,197,216,40,41,54,71,30
"203","K00247",20,16,22,13,11,48,117,96,89,90,108,32,21,20,25,14
"204","K00248",13437,11101,12586,13194,10160,10605,17507,15177,17978,18387,17358,21555,18166,20332,20342,17094
"205","K00249",31404,26697,37893,33828,25431,38207,63896,52802,66826,62633,61378,54059,45891,56935,41301,41806
"206","K00251",1,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0
"207","K00252",1107,1018,2625,1330,1323,2444,5580,4842,5140,5633,5921,2690,2353,2578,2123,2223
"208","K00253",1662,1581,3108,1982,1915,3292,6425,5590,6401,5899,6413,4332,3693,4439,3751,3621
"209","K00254",863,700,2036,958,997,2138,4191,3992,4201,4254,4251,2065,1780,2181,1673,1748
"210","K00255",592,568,1176,792,661,847,1677,1189,1622,1520,1669,1339,886,1124,649,880
"211","K00256",139,111,154,148,62,84,322,416,539,448,339,277,249,280,217,200
"212","K00257",3146,2543,4015,3789,2851,4493,5286,3929,6003,5060,5207,5120,4440,6306,3688,4192
"213","K00259",4269,3885,3787,4840,3646,2897,5819,4543,5137,5188,5088,5186,4140,5069,4309,4229
"214","K00260",297,463,569,550,1654,991,114,143,45,35,24,76,102,131,103,102
"215","K00261",6605,6121,4005,6626,5434,3442,4044,3891,4031,4422,4376,6738,5687,6287,5434,5124
"216","K00262",7104,6195,6014,7212,7389,7561,4999,4711,4175,4219,3981,9383,7564,9118,8721,8628
"217","K00263",544,551,700,696,1037,570,762,856,760,910,989,471,498,511,479,357
"218","K00264",85,76,103,79,79,33,58,49,56,48,36,53,50,48,40,27
"219","K00265",8639,7592,15082,8749,9806,14225,25278,21621,24128,23753,23787,14625,13204,15897,12536,12485
"220","K00266",13261,12457,12691,12859,13722,14097,12614,11026,11312,11213,11083,17571,14761,17192,15585,15612
"221","K00271",24,22,46,14,12,20,30,36,27,63,50,36,25,33,15,24
"222","K00273",777,626,853,569,455,855,1971,1690,1874,1923,1911,2678,2338,2227,2445,2095
"223","K00274",2358,2285,3944,2961,2818,3222,6629,5639,7838,6940,6319,4501,3966,5355,3539,3290
"224","K00275",1059,902,1691,982,1027,1434,3773,3256,3530,3716,3720,2226,1782,2132,1601,1555
"225","K00276",488,489,790,656,522,779,1241,1071,1788,1431,1115,826,802,1198,657,606
"226","K00278",9497,8574,7405,10642,6412,7154,7898,6569,7194,7542,7382,10818,9476,10837,10314,9404
"227","K00279",425,404,488,475,401,514,669,651,954,776,641,714,695,949,568,612
"228","K00280",18,13,75,6,15,83,231,171,208,210,279,22,19,26,22,19
"229","K00281",4779,4406,6246,5373,5807,5622,12538,10793,12134,12859,12685,10084,8135,10691,8644,8964
"230","K00282",8733,8775,6820,10289,8789,4769,2220,1825,2037,2003,1795,9055,7381,7862,7451,6997
"231","K00283",9610,9421,7393,11451,9665,5250,2551,1994,2286,2146,2020,9764,8155,8739,8203,7978
"232","K00284",2780,2472,4574,2722,3259,4171,7847,7438,7520,7586,7222,3890,3548,4520,3272,3479
"233","K00285",807,891,2661,963,1137,2163,5870,5923,6720,6850,6964,2076,1955,2423,1764,1697
"234","K00286",4669,4413,4857,4633,5669,5544,5753,4753,4986,5264,5356,6003,5212,5888,5494,5400
"235","K00287",2567,2455,2471,2623,2983,2369,3393,3328,3659,3599,3285,3253,2798,3353,2952,3096
"236","K00288",2918,2654,1739,3529,724,1266,142,97,105,61,65,2586,2104,2095,1468,1789
"237","K00290",3426,2856,4126,3839,4230,3265,5511,4462,5348,5503,5057,5864,5095,6167,5186,5091
"238","K00293",1794,1636,717,2073,1123,459,560,599,586,790,766,1593,1327,1566,1539,1492
"239","K00294",6617,6670,4723,7691,6133,4138,3215,2773,3310,3425,3317,9304,7465,8226,7128,7265
"240","K00295",7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","K00297",6847,6552,5905,6616,7086,6788,7088,6150,6732,6906,6997,10278,8748,9765,9018,8439
"242","K00298",369,340,376,359,199,258,165,132,190,153,124,1372,1244,1133,1089,1123
"243","K00299",940,995,1042,1031,1536,758,1001,917,1039,957,803,1948,1876,1920,1738,1773
"244","K00301",285,224,451,341,226,445,876,834,1052,1023,848,511,431,531,412,316
"245","K00302",15831,15299,10733,19071,16186,8667,4875,3621,4843,4721,4868,15074,12305,14650,12218,13166
"246","K00303",6556,7066,5473,8421,5261,4022,4362,3470,4573,4476,4531,6761,5808,6494,5285,5818
"247","K00304",65,66,159,135,77,139,462,372,438,477,524,197,184,271,183,199
"248","K00305",89,70,136,94,68,104,408,348,477,497,545,166,168,184,123,163
"249","K00306",64,43,127,93,67,93,248,283,345,300,206,151,95,165,110,77
"250","K00311",1338,1398,3365,1568,1438,3002,5472,4961,5382,5637,5816,3044,2930,3545,2806,2532
"251","K00313",1882,1652,1226,2114,738,629,930,699,760,668,878,1506,1470,1651,1313,1593
"252","K00314",120,82,244,145,124,153,655,416,636,694,828,299,336,332,279,362
"253","K00315",379,432,817,541,468,576,2752,1929,2834,2712,3050,1779,1545,1730,1306,1531
"254","K00316",29,50,76,50,42,91,263,237,308,326,270,136,83,125,91,43
"255","K00317",269,252,484,309,280,249,1323,925,1333,1409,1657,971,856,1109,888,956
"256","K00318",670,688,1129,766,533,910,2026,1598,1940,2053,1951,2242,1701,2115,1773,1925
"257","K00319",588,671,201,595,731,115,25,22,4,1,3,525,468,533,464,537
"258","K00320",4266,3993,4227,5312,2745,2937,5117,3647,4820,4153,4134,5450,4676,5693,3631,4332
"259","K00322",560,509,784,620,494,753,2422,2242,2737,2826,2678,910,913,1254,812,687
"260","K00324",4261,4043,4900,4684,4587,3937,8129,6942,7832,8598,8107,5974,5440,6122,4798,4510
"261","K00325",4503,4201,4865,4554,4592,3926,7725,6514,7644,7820,7853,6057,4974,6071,4865,4824
"262","K00326",102,95,172,108,63,275,471,376,429,438,491,232,218,186,201,200
"263","K00327",0,0,0,0,3,2,4,12,8,2,9,0,0,0,0,0
"264","K00329",886,824,1072,1009,572,852,1750,1490,1718,1716,1749,1569,1330,1432,1104,1146
"265","K00330",1366,1409,1964,1608,1250,1548,3765,3071,3468,3560,3565,2855,2361,2605,2284,2368
"266","K00331",1838,1899,2842,1929,1444,2150,5189,4521,4913,5135,4997,4168,3411,3928,3220,3234
"267","K00332",1892,2051,2474,2153,1939,2174,4617,3821,4373,4361,4500,3392,2911,3287,2392,2680
"268","K00333",4791,4328,5477,5086,5159,4912,9704,7380,8627,8754,8977,8140,6977,7606,6099,6262
"269","K00334",8307,7923,5981,9336,5756,4111,4814,4036,4659,4401,4567,11343,9323,10588,9518,9330
"270","K00335",24328,22766,19456,26159,21033,13526,13353,10830,12022,11844,11847,32810,27119,29545,28288,27060
"271","K00336",11074,11443,12004,13292,9489,8706,13049,11143,12177,12025,11987,18434,15392,17107,15410,15073
"272","K00337",5132,5201,5961,5869,4989,4824,9036,7767,8335,9017,8966,8172,7035,7872,6602,6684
"273","K00338",1797,1659,2705,2070,1695,2207,5091,4371,4641,4856,4820,3788,3332,3642,3031,2997
"274","K00339",2341,2240,2960,2787,1737,2282,5218,4365,4813,4938,4938,4119,3500,4116,3286,3076
"275","K00340",1489,1351,1921,1927,892,1394,3067,2679,2840,2903,2880,2255,2065,2533,1914,1782
"276","K00341",6392,6158,9196,7342,5351,7251,16880,14075,15568,16109,16064,12792,11521,12103,9835,9851
"277","K00342",6965,6864,7902,7170,3996,6434,14392,11614,12240,13276,12609,11322,9619,10583,9036,8685
"278","K00343",4263,4134,5720,4738,2856,4376,11047,9623,10140,10595,10648,8591,7524,8533,7114,7004
"279","K00344",6056,5254,9761,6228,6036,8495,19028,16732,20276,19579,20628,10808,9306,11668,8570,8830
"280","K00346",1459,1363,753,1533,1513,521,291,243,147,239,154,2322,1727,2123,2112,2039
"281","K00347",2017,1865,912,1732,1936,685,280,242,173,316,180,2127,1724,2229,2092,2140
"282","K00348",1507,1223,644,1144,1521,425,163,163,90,183,99,1441,1148,1360,1470,1304
"283","K00349",1233,1229,570,1020,1153,367,195,177,130,178,122,1340,1158,1320,1507,1272
"284","K00350",1158,1171,531,976,1113,405,191,161,119,170,81,1356,1047,1199,1330,1306
"285","K00351",2015,2005,1152,1976,2067,714,464,451,346,503,416,2985,2398,3111,2891,2901
"286","K00354",1834,1595,1438,1892,2839,1872,2347,1924,2046,1728,2078,2486,2220,2549,2292,2143
"287","K00355",1023,841,505,890,832,1177,974,855,1004,981,1051,1338,1235,1291,1389,1286
"288","K00356",882,810,1072,1015,575,852,1670,1423,1588,1628,1623,1481,1294,1372,1041,1090
